created_at,user.location,user.followers_count,user.friends_count,text
2019-02-28 06:59:22,,11,7,@JRhodamine @CNN It’s probably obvious I don’t like Trump. It’s got nothing to do with things not proven. I dont li… https://t.co/wn9WakRAeN
2019-02-28 06:59:22,,2,23,"Buoying Trump’s ‘Inflated’ Wealth: $4 Billion in ‘Brand Value,’ Cohen Says https://t.co/cFquH8Ecso"
2019-02-28 06:59:22,"Portland, OR",31,212,@MaraWilson You’re also required to have a Sasquatch air freshener and a bumper sticker that tells us what kind of… https://t.co/xMz8NqLCpl
2019-02-28 06:59:22,Jet City,2320,3417,"So that didnt go as expected. 

Trump, Kim downplay expectations as key talks get underway in Vietnam
https://t.co/blDokW8AgN"
2019-02-28 06:59:23,,10,16,@JustInformU Cohen was begging for his life and the lives of his family.  Will the deep state kill him and pin it o… https://t.co/Nmbzk4KaG2
2019-02-28 06:59:23,,27,114,Trump always be looking so sad https://t.co/UE5EN45UOm
2019-02-28 06:59:23,here,44,143,"if he knew, it wouldn't change a damned thing....
#MichaelCohenHearing"
2019-02-28 06:59:23,"Los Angeles, CA",186,163,"@ABlackAmericanM @GameEnders_ @DonaldJTrumpJr And everyone is calling for him to resign, but because America has th… https://t.co/lJIApcxUxa"
2019-02-28 06:59:23,"Philadelphia & Shohola, PA.",67,238,@NBCNews Ha Ha Ha this whole thing has been nothing but another trump scam ! bone spurs in vietnam !
2019-02-28 06:59:23,Little Canada MN,778,1276,"@realDonaldTrump #ArtOfTheDeal

#TrumpFail, again.

Trump-Kim summit Ends abruptly between the two leaders. No Deal… https://t.co/WblZpwKW2w"
2019-02-28 06:59:23,,260,555,@tom_mcguane @RepRoKhanna @MaddowBlog @DonaldJTrumpJr I’m still of the opinion that if trump or Brexit goes they bo… https://t.co/pwLdRuVTdv
2019-02-28 06:59:24,"Wisconsin, USA",18,90,"@Jim_Jordan Mr. Jordan first, I LOVE WATCHING YOU INTERROGATE!!! LOL!! I'm SUPRISED that you all let him go on his… https://t.co/O7LXtLG5zo"
2019-02-28 06:59:24,Oklahoma,1497,2133,@washingtonpost Trump will blame it on what’s going on in DC. It’s never his fault
2019-02-28 06:59:24,"Arizona, USA",89,206,@WhiteHouse TRUMP IS A FAILURE!
2019-02-28 06:59:24,,170,515,"@EvanMcMullin Man, talk about pyschologically damaged, like Stockholm Syndrome level messed up..he still calls him… https://t.co/KrnmAwZEn6"
2019-02-28 06:59:24,All Around The World,1095,1261,Trump-Kim talks end &amp;#039;without agreement&amp;#039; - https://t.co/SvB5ei7O80
2019-02-28 06:59:24,"Tulsa, OK",664,706,"Man, if this guy doesn't look ""low stamina"" to you, I don't know who will.  ⚡️ “Meet the mysterious woman lurking i… https://t.co/E1aCtJ0sGo"
2019-02-28 06:59:24,,1856,1511,"@Lawrence I know one. Paul Manafort. 
That's a lawyer that went to work for free in the Trump campaign. 
I'm sure i… https://t.co/obJnBgi8uS"
2019-02-28 06:59:24,Missing,206,83,I wonder what #BlackTwitter would say about this...
2019-02-28 06:59:24,"Catawba, Va",63,99,I agree.
2019-02-28 06:59:24,,48,74,@CuomoPrimeTime @CNN I watched the hearing &amp; Highins is the guy who kept asking for the boxes...the boxes...where a… https://t.co/gcZc9lGPod
2019-02-28 06:59:24,"East Village, San Diego",6256,2474,Trump. Cohen. 😒
2019-02-28 06:59:24,,38,506,"@DIorioNathaniel Take a 12 hour hiatus,  and your like like; WTF did aoc and or Trump say now?"
2019-02-28 06:59:25,"North Braddock, PA",198,533,"@RexHuppke Cohen's testimony has the Trump people against a wall. 

""Everything Cohen says is a lie"". Even the part… https://t.co/FeKq2wb5PW"
2019-02-28 06:59:25,"Florida, USA",7205,7623,He thinks he is above the law.
2019-02-28 06:59:25,,763,0,Trump press conference: No deal reached with Kim - live updates   After his high-profile meetings with the North Ko… https://t.co/w4z8yzHgQQ
2019-02-28 06:59:25,"Oregon, USA",700,2070,"Trying to interpret our President's language could shut anything down early. For the sake of the world, I hope it w… https://t.co/vdv1S1XYe3"
2019-02-28 06:59:25,"Florida, USA",187,292,Biff is Trump!! #VoteBlueNoMatterWho2020 https://t.co/p0FcLB4ocE
2019-02-28 06:59:26,,676,670,“Look at my African-American here” foh
2019-02-28 06:59:26,where eva u want me 2 b,201,552,@RevRising1 @GodnCountry_ @Neenyshor They all flipping. It’s not worth it not just Cohen anybody trying to protect… https://t.co/2I5AR9tgjw
2019-02-28 06:59:26,Tier-1 Network Infrastructure.,118,471,Um...So Kim Jong Un successful again.  #NorthKorea
2019-02-28 06:59:26,,7,57,President Trump meets with Kim Jong Un https://t.co/641MXlVqgn
2019-02-28 06:59:26,"Fresno, CA",719,568,You musty
2019-02-28 06:59:27,"Cleveland, Ohio",1068,860,"Trump, Kim end second summit early with no deal https://t.co/PO3nck6VgO #summit #vietnam #trump #northkorea"
2019-02-28 06:59:26,"Raleigh, NC",3369,4565,"#CohenCongressionalHearing @HouseIntel @RepAdamSchiff 
@jahimes 
@RepTerriSewell 
@RepAndreCarson 
@RepSpeier… https://t.co/pRNcDvSwmE"
2019-02-28 06:59:27,Long Beach,2347,2868,Failure...at home and abroad
2019-02-28 06:59:27,New York City via Detroit,5363,2249,@killerswan lol he wrote something about Trump deserving a Noble Peace Prize. 🤦🏽‍♀️
2019-02-28 06:59:27,United States,1343,1421,I'm #DocHolliday WhenItComesTo #RaceCard PlayersLike @DonLemon😜DesperateProvenLiarCohen WillingNow2AgreeWithAll Rad… https://t.co/kzkIxG8mRk
2019-02-28 06:59:27,"Philadelphia, PA",1686,3111,@mtracey Or is it trump who rushed to make a deal to stop the Cohen narrative? Mmmm
2019-02-28 06:59:27,,66,58,@RealJack And STILL they couldn’t get him to implicate Trump with Russian collusion.
2019-02-28 06:59:27,YSSY,62239,2239,Donald Trump and Kim Jong-un cut short their nuclear summit https://t.co/cCzGqRUH1c
2019-02-28 06:59:27,,504,292,Korean Stocks Plunge After Trump-Kim Summit Collapses
2019-02-28 06:59:27,"Toronto, Ontario",77,79,Democrats- your disloyalty to your President impacted him achieving success today with Kim Jung Un - TRUMP WILL NOT… https://t.co/f3QCjHvr4j
2019-02-28 06:59:28,"Texas, USA",1233,279,@SaltiAdel @johnrobertsFox @realDonaldTrump 😂😂😂you want to blame the Dems for Trump not being able to work a great… https://t.co/pwBOyTCxUc
2019-02-28 06:59:28,"Wisconsin, USA",731,689,What a striking image!
2019-02-28 06:59:28,,1410,4388,"""We are better than this... We've got to get back to normal."" @RepCummings' closing was one of the best public stat… https://t.co/n63qWLJLi5"
2019-02-28 06:59:28,Colorado,272,647,Did trump get Putin's permission to end the summit early?
2019-02-28 06:59:28,"Los Angeles, CA",440,149,"Hey, Trump voter: still holding your nose? 

Getting hard to breathe yet?"
2019-02-28 06:59:28,"Carmel, CA",3324,4917,@AP @yashar Does anyone know where Sergey Lavrov is or if he and Trump spoke?
2019-02-28 06:59:28,USA,3791,1719,"What a waste. No timeline, no progress, ZERO DENUCLEARIZATION. Trump has given KJU everything he wants. He won’t ev… https://t.co/WkdPmckbw5"
2019-02-28 06:59:29,New York,36197,42,US-North Korea talks break down: Second summit between Trump and Kim Jong Un ends early https://t.co/VGfv7EkxNd
2019-02-28 06:59:29,"Third Ring of Hell, Missouri",746,1570,⚡️ “Cohen says Trump 'threatened' schools to keep official grades and SAT scores secret”  Proof daddy Trump paid of… https://t.co/gLJWO6CyWE
2019-02-28 06:59:29,,3,5,"@sheldoncoop69 @EllenPage There have been 349 recorded (including Jussie) ""boy who cried hate crime"" in the U.S since Trump's inauguration."
2019-02-28 06:59:29,,63,272,@KamalaHarris We're getting tired of it to be honest.  It's always something.  Not tired enough to vote Trump 2020 though.
2019-02-28 06:59:30,,49,148,Trump-Kim summit: Talks between two leaders set to end early #TrumpKimSummit https://t.co/YZf4omZGBO
2019-02-28 06:59:30,"Connecticut, USA",492,1089,@DrDenaGrayson Cohen is lying. If Trump had been doing so he would have never run for president because he knows th… https://t.co/HxH8SpLW1m
2019-02-28 06:59:30,None,967,1037,@McFaul Kim Jong Un made Trump look weak and desperate at both Summits. The smirk on Un's face was and condescendin… https://t.co/JavVTiaoQI
2019-02-28 06:59:30,"New Hampshire, USA",40,122,@GOP Trump is the sword you keep throwing yourself on. #winning
2019-02-28 06:59:30,,859,8579,LIVE: Trump press conference following summit with Kim Jong Un https://t.co/PYuWDUlXJ2
2019-02-28 06:59:30,,264,171,"@realDonaldTrump  What's wrong super dumbass Donald Trump 😅, couldn't make a deal with that fat dumbass Kim Jong UN… https://t.co/zuJ1olbQZC"
2019-02-28 06:59:30,"Sapporo, Japan",973,491,@holzprueghel I'm not stupid enough to think any single factor is responsible for Trump. Nor do I think Rogan think… https://t.co/my4eSqd9xK
2019-02-28 06:59:30,"Taytay, Rizal",370,398,North Korea touts for investment ahead of Trump-Kim summit https://t.co/SUDzXmQRpa via @financialtimes https://t.co/hZDV3zuC3E
2019-02-28 06:59:31,"Council Bluffs, IA",6321,6715,"@mangomusselini1 @donaldmackenz30 It’s funny, I use the “birds of a feather” quote quite a bit myself. It’s just so… https://t.co/Nfa9QuQGz6"
2019-02-28 06:59:31,,34,60,"@AnnPicknie In a Trump building, right..."
2019-02-28 06:59:31,,1547,3981,"Trump. #CambridgeAnalytica. #WikiLeaks. The connections, explained. 

#TYTlive @cenkuygur @AnaKasparian.… https://t.co/I7v00ZsqK1"
2019-02-28 06:59:31,"Buford, GA",19,145,"You cant have all the credit, Cohen.  Americas mouth breathers have been completely enthralled by contrarian trolls… https://t.co/8aBhL9fuXS"
2019-02-28 06:59:32,,141,596,@williamlegate his twitter feed alone is corroboration of Cohen 's claim yesterday that Trump Snr said Jnr has the… https://t.co/nXLKEiby13
2019-02-28 06:59:32,,697,504,"@christinawilkie Right. And, Trump was going to have a burger and fries, with a pizza chaser."
2019-02-28 06:59:32,#FOLLOWBACKRESISTANCE   #VetsResistSquadron #Mueller    #RussianCollusion #CorruptGOP   #RussianConspiracy  #MSNBC   #CNN #ComplicitGOP,55287,52458,"Hey @Funder, its just been announced the Kim-Trump Summit ended abruptly and the @WhiteHouse has stated no agreemen… https://t.co/qdTtG0VQyP"
