created_at,user.location,user.followers_count,user.friends_count,text
2019-02-19 11:14:48,Sheffield,291,579,Thinking of what to do this weekend? Why not come to @thersbar in #sheffield to see @CoyoteMadSeeds with support fr… https://t.co/QZi7J9mqcV
2019-02-19 11:14:51,"Lagos, Nigeria",1,6,"Quality is never an accident. It is always the result of intelligent effort.
#Training
#TuesdayThoughts
#TuesdayMotivation"
2019-02-19 11:14:51,"Nairobi, Kenya",7249,1221,"Before you plant that first seed, take the time (lots and lots of time) to figure out where you’re going to sell yo… https://t.co/OeiPmGJCC3"
2019-02-19 11:14:57,Salford,1666,754,"It's not quite BBQ weather yet here in Salford, but even a short walk to the shop or to the park can have a positiv… https://t.co/L5f1ajjivI"
2019-02-19 11:15:00,"barnard castle, county.durham",494,227,2 course lunches £10 Tues - Saturday lunchtime #TuesdayThoughts #TuesdayMotivation #lunch #lunchtime #countryside… https://t.co/epnEuP4Xcx
2019-02-19 11:15:07,"London, UK & Europe",1912,1417,Interested in becoming a peer-reviewer? Get in touch to join our #Innovations team #TuesdayThoughts… https://t.co/C3p4KCYImP
2019-02-19 11:15:09,"Virginia, USA",41,26,"The right mindset will take you further than a nice car

#TuesdayThoughts"
2019-02-19 11:15:12,,5760,2323,Looking for an exclusive network for #healthcare professionals? Join our LinkedIn group! #TuesdayThoughts https://t.co/Y2xumQhfwd
2019-02-19 11:15:13,United Kingdom,4493,1285,Fancy watching some #Hematology video content? #Subscribe to our EMJ channel! #TuesdayThoughts… https://t.co/wc7NqVh1Up
2019-02-19 11:15:13,"Hull, England",7,9,"It's Tuesday Takeaway! 😋🍴 You can find our menu over on our website, call 01482 228998 to order. #takeaway… https://t.co/Qbob576r1O"
2019-02-19 11:15:13,,2909,267,"The #nature has enormous shades to showcase. 
To embrace the tones of weather with the hues of your #style , we sug… https://t.co/3Ue63gJxeZ"
2019-02-19 11:15:16,"Hertford, UK",196,342,"🧡💛 Takes two to mango 💛🧡 #mango #getyourmangoon #khanum #tuesdaythoughts #tuesdaytips
Enjoy this with someone speci… https://t.co/h4pT1Cda2m"
2019-02-19 11:15:16,,535,424,"CONNECT THE DOTS........................ #JussieSmollettHoax 
#TuesdayThoughts https://t.co/dmKUykZXgv"
2019-02-19 11:15:18,THE EMERALD ISLE,0,0,I #got my #birthday #wrong #on #twitter how can I #change it #anyone? I looked in #settings already.… https://t.co/Xcv75pR7A0
2019-02-19 11:15:23,"London, England",127,930,"We all picture the perfect #halfterm, does this represent anyone's half term week already?

#Staycalm, the sun is s… https://t.co/K1OE6lnQZZ"
2019-02-19 11:15:28,,127,0,everyone deserves to stan loona #TuesdayThoughts https://t.co/KIGZXlmTM2
2019-02-19 11:15:29,,157,1300,"@ItalyinUK @ItalyinUS @TUIUK @thompson @TheSun @LBC 

Should Donkeys now stop being exploited in Santorini? 

Keep… https://t.co/LvNwt0htBi"
2019-02-19 11:15:30,Bedford,233,506,"#TuesdayThoughts 
""If your brother is going to steal your hen, save your honor and give it to him first.""
https://t.co/Y3ftqg6lBn"
2019-02-19 11:15:30,"Naogaon, Bangladesh",860,4956,"My New #LOGO #desing how is it? Looking fora Logo #branding #corporate #identy? 

Contact me:… https://t.co/Or66MiDUdg"
2019-02-19 11:15:31,"Austin, TX",346,1459,The best thing about meet the press is Katy Turr
2019-02-19 11:15:34,India,2037,84,"Tap on the link below and experience the online transactions with voice-command! Talk to Niki now! 
#AI… https://t.co/CMTcTuknzT"
2019-02-19 11:15:35,South of England,4922,584,"On a recent visit to @ChelsPhysicGdn we spotted these amazing floating snowdrops in the trees.

Which got us thinki… https://t.co/TAcmfvnGBI"
2019-02-19 11:15:42,"Lagos, Nigeria",654,1440,"While it is essential to have thorough knowledge of all aspect of your business, you can't be an expert in it all.… https://t.co/wheYG8kejw"
2019-02-19 11:15:42,Lagos,1751,1848,"Linda Ikeji Shades Laura's Dress Sense On Instagram
https://t.co/rhYxSvwz1W

#SnatchAtYouOwnRisk… https://t.co/FtdscwPyTm"
2019-02-19 11:15:42,,359,178,"#TuesdayThoughts of the most beautiful, genuine, classy #AshleyJones a modern day  #AudreyHepburn https://t.co/8e9HwDbmIi"
2019-02-19 11:15:54,"Tyler, TX",400,642,A little Tuesday morning motivation! Tune in @kytxcbs19 #TheMorningLoop #TuesdayThoughts
2019-02-19 11:15:55,,80,32,"No. He is trying to be the #NewGandhi as if 1 was not enough.
@Aswattaman
#TuesdayThoughts
#PulwamaTerrorAttacks… https://t.co/0c9BwCjSBO"
2019-02-19 11:15:57,Where da pussy is,1,3,#TuesdayThoughts It's so sad how PewDiePie might be surpassed in subs by T-Series today.
2019-02-19 11:16:00,"North West, England",1249,3950,"📣 Hilarious gag for wine lovers! It's both a glass, AND it's own bottle! Our unique vessel lets you enjoy an entire… https://t.co/PgllOulrdZ"
2019-02-19 11:16:08,"Nairobi, Kenya",675,1124,"U don't need to be beautiful
U don't need to be charming
U don't need to be good looking
U don't need to be smart
U… https://t.co/9x9ePSuOrn"
2019-02-19 11:16:12,Earth,479,467,"#TuesdayThoughts The Sky Is up and the Land is down, without the Land there'll be nothing for the Sky to cover and… https://t.co/KaSL6aQgN8"
2019-02-19 11:16:13,"Osogbo, Nigeria",198,121,"Energy available from the sun is inexhaustible and environmental  friendly. Therefore, the solar energy technologie… https://t.co/GHE36DwZfN"
2019-02-19 11:16:18,"Ohio, USA and the World.",10278,10600,"I used to own a VW van just like this one a very long time ago.  It never ran, but it was glorious.  😉… https://t.co/7ceHuNzCDG"
2019-02-19 11:16:18,"New Orleans, USA",230,614,"If its not about PROGRESS or constructive movement, then please read my lips: NOT INTERESTED! #TuesdayThoughts… https://t.co/LOVSlGXhlA"
2019-02-19 11:16:21,"Lagos, nigeria",723,829,"In a matter of time we are not going to have the resources needed to take care of this country. ""Nigeria""… https://t.co/fEH9Kt2sH2"
2019-02-19 11:16:22,"Nottingham, England",886,72,"Nice to have been a part of this podcast, if you want to listen to 30 mins of chat about ecommerce SEO, here's your… https://t.co/ev7ChyRhUJ"
2019-02-19 11:16:24,UK,9749,7826,"This week on the #CVMBlog @MCooperCVM talks about how we can be present, be prayerful, be....… https://t.co/bQdyIVNSRf"
2019-02-19 11:16:26,,0,1,Pls RT 20% off on First order: NEW20 https://t.co/MmPmZ139Rk #taheemrajat Web: https://t.co/3ut3zxH3xB FB:… https://t.co/fHE3pZmg00
2019-02-19 11:16:29,"Sturgis, MI",70,115,The apple doesn’t fall far from the tree. #TuesdayThoughts #HaveANiceDay
2019-02-19 11:16:31,"Accra, Ghana",945,105,"""Persistence can turn failure into extraordinary achievement.""
 Happy Tuesday 
 #MfariGhana #Ghana… https://t.co/Ox8k5uJEoz"
2019-02-19 11:16:33,,4017,4092,GOP people who used to stand shoulder to shoulder fighting for what is right for America now are lapdogs to a Mob B… https://t.co/bTC4GUtqJQ
